"Latitude","Longitude","Year","JulianDay","WaterTemp_C","PAR_umol_m2_day","NEP_g_m3_day"
71.294626,-156.702102,2010,163,0.56,685.59,-9999
71.294626,-156.702102,2010,164,0.69,496.3,3.21
71.294626,-156.702102,2010,165,2.79,618.8,5.18
71.294626,-156.702102,2010,166,4.76,676.36,5.13
71.294626,-156.702102,2010,167,3.73,469.6,5.49
71.294626,-156.702102,2010,168,3.63,496.73,4.35
71.294626,-156.702102,2010,169,6.84,785.88,-9999
71.294626,-156.702102,2010,170,6.62,637.19,2.12
71.294626,-156.702102,2010,171,6.81,571.33,3.29
71.294626,-156.702102,2010,172,8.03,747.01,2.27
71.294626,-156.702102,2010,173,8.79,695.74,2.81
71.294626,-156.702102,2010,174,7.06,549.76,3.71
71.294626,-156.702102,2010,175,6.43,653.78,1.99
71.294626,-156.702102,2010,176,7.7,621.42,-9999
71.294626,-156.702102,2010,177,6.8,486.06,2.13
71.294626,-156.702102,2010,178,7.56,446.09,1.7
71.294626,-156.702102,2010,179,10.4,668.98,1.81
71.294626,-156.702102,2010,180,9.68,656.59,3.89
71.294626,-156.702102,2010,181,7.76,361.66,2.86
71.294626,-156.702102,2010,182,6.73,340.14,2.67
71.294626,-156.702102,2010,183,8.07,558.33,2.63
71.294626,-156.702102,2010,184,9.38,521.82,2.13
71.294626,-156.702102,2010,185,9.44,296.85,1.93
71.294626,-156.702102,2010,186,8.06,598.04,2.73
71.294626,-156.702102,2010,187,7.48,297.47,2.93
71.294626,-156.702102,2010,188,7.1,411.38,2.74
71.294626,-156.702102,2010,189,10.06,330.26,3.25
71.294626,-156.702102,2010,190,11.13,811.25,2.1
71.294626,-156.702102,2010,191,6.6,252.08,4.5
71.294626,-156.702102,2010,192,6.42,374.95,2.86
71.294626,-156.702102,2010,193,4.93,308.64,4.86
71.294626,-156.702102,2010,194,5.98,394.71,3.14
71.294626,-156.702102,2010,195,4.43,248.23,4.16
71.294626,-156.702102,2010,196,5.32,282.52,2.76
71.294626,-156.702102,2010,197,7.39,143.93,2.32
71.294626,-156.702102,2010,198,8.28,295.67,2.14
71.294626,-156.702102,2010,199,5.88,208.64,3.97
71.294626,-156.702102,2010,200,4.76,285.65,4.91
71.294626,-156.702102,2010,201,6.39,362.11,2.88
71.294626,-156.702102,2010,202,10.89,524.68,1.61
71.294626,-156.702102,2010,203,12.72,289.24,2.1
71.294626,-156.702102,2010,204,12.64,498.75,2.17
71.294626,-156.702102,2010,205,13.75,585.36,3.01
71.294626,-156.702102,2010,206,13.7,617.08,3
71.294626,-156.702102,2010,207,15.4,597.29,1.79
71.294626,-156.702102,2010,208,17.23,586.14,3.13
71.294626,-156.702102,2010,209,16.01,472.16,2.57
71.294626,-156.702102,2010,210,15,321.12,3.38
71.294626,-156.702102,2010,211,13.44,309.63,2.99
71.294626,-156.702102,2010,212,11.69,178.88,5.05
71.294626,-156.702102,2010,213,9.15,110.23,3.39
71.294626,-156.702102,2010,214,10.98,272.02,6.74
71.294626,-156.702102,2010,215,11.69,462.89,3.01
71.294626,-156.702102,2010,216,13.76,417.42,1.91
71.294626,-156.702102,2010,217,14.1,422.5,2.16
71.294626,-156.702102,2010,218,12.09,186.64,3.65
71.294626,-156.702102,2010,219,7.07,158.12,4.67
71.294626,-156.702102,2010,220,5.8,308.56,4.24
71.294626,-156.702102,2010,221,4.59,216.48,3.8
71.294626,-156.702102,2010,222,4.47,214.29,2.91
71.294626,-156.702102,2010,223,5.05,184.74,2.82
71.294626,-156.702102,2010,224,5.18,166.51,2.04
71.294626,-156.702102,2010,225,7.62,243.1,1.64
71.294626,-156.702102,2010,226,10.88,458.3,1.32
71.294626,-156.702102,2010,227,10.47,339.5,2.78
71.294626,-156.702102,2010,228,10.26,332.35,0.98
71.294626,-156.702102,2010,229,9.92,97.76,3.49
71.294626,-156.702102,2011,175,4.3,314.89,-9999
71.294626,-156.702102,2011,176,8.75,671.82,1.38
71.294626,-156.702102,2011,177,9.88,688.02,3.02
71.294626,-156.702102,2011,178,10.16,695.02,2.62
71.294626,-156.702102,2011,179,9.29,741.09,4.18
71.294626,-156.702102,2011,180,7.06,383.17,3.52
71.294626,-156.702102,2011,181,6.62,418.46,2.61
71.294626,-156.702102,2011,182,7.75,522.13,1.39
71.294626,-156.702102,2011,183,10.02,575.49,2.59
71.294626,-156.702102,2011,184,9.08,572.37,3.48
71.294626,-156.702102,2011,185,6.92,247.76,3.54
71.294626,-156.702102,2011,186,7.56,541.92,2.22
71.294626,-156.702102,2011,187,9.83,632.05,1.86
71.294626,-156.702102,2011,188,11.07,677.37,2.56
71.294626,-156.702102,2011,189,10.04,559.35,2.89
71.294626,-156.702102,2011,190,9.14,563.02,2.87
71.294626,-156.702102,2011,191,9.74,634.97,2.39
71.294626,-156.702102,2011,192,8.15,351.85,3.37
71.294626,-156.702102,2011,193,5.52,212.49,6.14
71.294626,-156.702102,2011,194,6.48,335.38,-9999
71.294626,-156.702102,2011,195,8.52,611.74,2.18
71.294626,-156.702102,2011,196,8.56,389.76,4.31
71.294626,-156.702102,2011,197,8.09,463.8,4.02
71.294626,-156.702102,2011,198,7.71,202.31,2.24
71.294626,-156.702102,2011,199,9.26,451.2,1.08
71.294626,-156.702102,2011,200,13.15,579.58,1.17
71.294626,-156.702102,2011,201,14.39,329.79,1.86
71.294626,-156.702102,2011,202,11.4,174.95,2.61
71.294626,-156.702102,2011,203,9.55,282.81,2.21
71.294626,-156.702102,2011,204,10.77,305.49,2.32
71.294626,-156.702102,2011,205,10.33,352.63,2.64
71.294626,-156.702102,2011,206,9.88,229.5,2.08
71.294626,-156.702102,2011,207,8.85,330.36,2.38
71.294626,-156.702102,2011,208,9.85,295.08,1.36
71.294626,-156.702102,2011,209,11.99,350.8,1.78
71.294626,-156.702102,2011,210,11.28,202.31,2.59
71.294626,-156.702102,2011,211,8.44,222.52,2.71
71.294626,-156.702102,2011,212,9.03,339.5,1.18
71.294626,-156.702102,2011,213,10.21,182.58,1.42
71.294626,-156.702102,2011,214,9.23,281.25,1.64
71.294626,-156.702102,2011,215,9.06,236.53,3.84
71.294626,-156.702102,2011,216,7.89,163.98,4.72
71.294626,-156.702102,2011,217,9.51,265.49,1.06
71.294626,-156.702102,2011,218,11.04,467.84,2.06
71.294626,-156.702102,2011,219,11.34,312.39,2.05
71.294626,-156.702102,2011,220,11.63,352.45,1.45
71.294626,-156.702102,2011,221,10.36,273.41,2.94
71.294626,-156.702102,2011,222,8.44,134.66,2
71.294626,-156.702102,2011,223,7.59,216.09,2.61
71.294626,-156.702102,2011,224,7.31,232.21,3.18
71.294626,-156.702102,2011,225,8.06,258.54,2.88
71.294626,-156.702102,2011,226,7.5,202.91,1.44
71.294626,-156.702102,2011,227,7.01,189.89,1.9
71.294626,-156.702102,2011,228,6.49,275.96,1.44
71.294626,-156.702102,2011,229,6.66,198.96,0.61
71.294626,-156.702102,2011,230,7.07,135.13,0.7
71.294626,-156.702102,2011,231,7.09,247.08,1.76
71.294626,-156.702102,2011,232,5.31,163.13,1.95
71.294626,-156.702102,2012,158,1.44,567.16,-9999
71.294626,-156.702102,2012,159,2.46,427.47,3.13
71.294626,-156.702102,2012,160,4.84,637.84,3
71.294626,-156.702102,2012,161,3.26,311.43,4.22
71.294626,-156.702102,2012,162,4.88,542.39,3.39
71.294626,-156.702102,2012,163,6.47,721.46,2.76
71.294626,-156.702102,2012,164,6.53,573.91,1.94
71.294626,-156.702102,2012,165,7.78,622.16,1.54
71.294626,-156.702102,2012,166,8.57,731.14,1.78
71.294626,-156.702102,2012,167,10.7,728.93,1.06
71.294626,-156.702102,2012,168,10.97,613.43,1.49
71.294626,-156.702102,2012,169,7.01,420.57,2.11
71.294626,-156.702102,2012,170,9.23,477.04,1.1
71.294626,-156.702102,2012,171,10.05,-9999,2.55
71.294626,-156.702102,2012,172,9.61,-9999,3.17
71.294626,-156.702102,2012,173,9.06,-9999,2.88
71.294626,-156.702102,2012,174,10.3,-9999,1.07
71.294626,-156.702102,2012,175,10.31,-9999,1.09
71.294626,-156.702102,2012,176,9.77,-9999,1.71
71.294626,-156.702102,2012,177,7.13,-9999,1.93
71.294626,-156.702102,2012,178,6.44,-9999,1.38
71.294626,-156.702102,2012,179,7.12,-9999,0.87
71.294626,-156.702102,2012,180,10,-9999,0.54
71.294626,-156.702102,2012,181,11.29,-9999,1.05
71.294626,-156.702102,2012,182,10.4,-9999,0.96
71.294626,-156.702102,2012,183,11.38,-9999,0.72
71.294626,-156.702102,2012,184,10.51,-9999,1.16
71.294626,-156.702102,2012,185,9.03,-9999,1.74
71.294626,-156.702102,2012,186,9.84,-9999,1.75
71.294626,-156.702102,2012,187,10.75,-9999,1.41
71.294626,-156.702102,2012,188,10.77,-9999,1.14
71.294626,-156.702102,2012,189,10.44,-9999,1.47
71.294626,-156.702102,2012,190,10.19,749.78,1.6
71.294626,-156.702102,2012,191,8.53,330.39,1.63
71.294626,-156.702102,2012,192,12,583.93,0.34
71.294626,-156.702102,2012,193,14.9,621.9,0.54
71.294626,-156.702102,2012,194,16.33,687.34,1.01
71.294626,-156.702102,2012,195,14.4,486.01,1.32
71.294626,-156.702102,2012,196,10.67,327.31,1.23
71.294626,-156.702102,2012,197,14.68,604.66,0.32
71.294626,-156.702102,2012,198,12.18,386.51,2.6
71.294626,-156.702102,2012,199,7.6,355.13,1.9
71.294626,-156.702102,2012,200,8.72,607.37,0.56
71.294626,-156.702102,2012,201,9.39,623.56,1.27
71.294626,-156.702102,2012,202,8.46,485.91,1.95
71.294626,-156.702102,2012,203,7.56,467.42,0.92
71.294626,-156.702102,2012,204,12.43,622.11,0.41
71.294626,-156.702102,2012,205,15.68,596.17,0.62
71.294626,-156.702102,2012,206,13.51,225.08,1.16
71.294626,-156.702102,2012,207,14.02,418.59,1.35
71.294626,-156.702102,2012,208,12.58,218.75,1.35
71.294626,-156.702102,2012,209,12.83,322.13,1.24
71.294626,-156.702102,2012,210,13.07,485.1,0.97
71.294626,-156.702102,2012,211,11.89,195.88,1.19
71.294626,-156.702102,2012,212,11.26,396.43,1.6
71.294626,-156.702102,2012,213,9.57,314.32,1.04
71.294626,-156.702102,2012,214,10.87,359.61,1.74
71.294626,-156.702102,2012,215,7.17,171.12,2
71.294626,-156.702102,2012,216,7.86,195.47,1.28
71.294626,-156.702102,2012,217,9.89,276.33,0.84
71.294626,-156.702102,2012,218,10.44,198.7,2.39
71.294626,-156.702102,2012,219,6.95,328.64,1.99
71.294626,-156.702102,2012,220,5.9,335.67,1.99
71.294626,-156.702102,2012,221,5.42,185.36,1.84
71.294626,-156.702102,2012,222,6.45,56.01,1.38
71.294626,-156.702102,2012,223,6.02,336.51,0.7
71.294626,-156.702102,2012,224,6.09,236.59,0.48
71.294626,-156.702102,2012,225,8.42,431.38,0.55
71.294626,-156.702102,2012,226,11.6,476.87,0.79
71.294626,-156.702102,2012,227,12.09,212.18,0.44
71.294626,-156.702102,2012,228,13.25,1.2,-9999
71.294626,-156.702102,2013,166,13.16,574.39,-9999
71.294626,-156.702102,2013,167,8.62,573.98,2.66
71.294626,-156.702102,2013,168,11.02,1149.58,0.9
71.294626,-156.702102,2013,169,12.95,1178.77,2.65
71.294626,-156.702102,2013,170,11.83,1187.29,2.75
71.294626,-156.702102,2013,171,11.13,1148.72,2.54
71.294626,-156.702102,2013,172,12.01,1121.22,2.26
71.294626,-156.702102,2013,173,9.1,449.68,2.26
71.294626,-156.702102,2013,174,5.49,333.93,2.21
71.294626,-156.702102,2013,175,5.55,538.56,2.76
71.294626,-156.702102,2013,176,4.19,474.42,3.31
71.294626,-156.702102,2013,177,8.52,1107.13,0.47
71.294626,-156.702102,2013,178,12.2,612.78,1.47
71.294626,-156.702102,2013,179,11.52,743.04,2.49
71.294626,-156.702102,2013,180,8.97,751.46,2.11
71.294626,-156.702102,2013,181,6,331.2,4.22
71.294626,-156.702102,2013,182,7.43,849.71,1.38
71.294626,-156.702102,2013,183,11.7,505.93,1.82
71.294626,-156.702102,2013,184,9.27,550.67,2.09
71.294626,-156.702102,2013,185,12.62,992.39,1.62
71.294626,-156.702102,2013,186,11.87,823.28,1.79
71.294626,-156.702102,2013,187,12.3,776.06,2.42
71.294626,-156.702102,2013,188,11.22,979.63,2.58
71.294626,-156.702102,2013,189,9.47,769.19,2.7
71.294626,-156.702102,2013,190,6.28,550.28,3.54
71.294626,-156.702102,2013,191,7.11,969.87,2.17
71.294626,-156.702102,2013,192,8.37,1027.18,2.2
71.294626,-156.702102,2013,193,9.01,1090.57,2.33
71.294626,-156.702102,2013,194,9.96,1085.18,2.31
71.294626,-156.702102,2013,195,9.67,907.76,2.92
71.294626,-156.702102,2013,196,10.59,376.09,1.86
71.294626,-156.702102,2013,197,12.58,759.19,1.5
71.294626,-156.702102,2013,198,11.59,434.63,2.08
71.294626,-156.702102,2013,199,12.93,514.79,1.79
71.294626,-156.702102,2013,200,11.76,395.08,1.62
71.294626,-156.702102,2013,201,12.47,413.33,2.07
71.294626,-156.702102,2013,202,13.96,605.93,1.93
71.294626,-156.702102,2013,203,13.19,420,3.76
71.294626,-156.702102,2013,204,8.12,480.13,3.08
71.294626,-156.702102,2013,205,6.16,487.89,3.9
71.294626,-156.702102,2013,206,5.45,310.02,3.42
71.294626,-156.702102,2013,207,7.1,634.58,1.05
71.294626,-156.702102,2013,208,8.76,217.78,1.92
71.294626,-156.702102,2013,209,10.32,208.59,2.83
71.294626,-156.702102,2013,211,9.67,386.64,-9999
71.294626,-156.702102,2013,212,8.52,386.98,1.4
71.294626,-156.702102,2013,213,11.28,426.98,1.25
71.294626,-156.702102,2013,214,13.42,582.55,1.5
71.294626,-156.702102,2013,215,11.11,434.63,2.84
71.294626,-156.702102,2013,216,8.59,408.43,1.35
71.294626,-156.702102,2013,217,7.29,291.64,2.16
71.294626,-156.702102,2013,218,4.99,319.84,3.38
71.294626,-156.702102,2013,219,6.63,547.89,1.21
71.294626,-156.702102,2013,220,7.04,245.15,2.48
71.294626,-156.702102,2013,221,5.52,284.09,1.39
71.294626,-156.702102,2013,222,5.31,291.06,1.62
71.294626,-156.702102,2013,223,8.12,707.71,0.61
71.294626,-156.702102,2013,224,11.46,530.8,3.02
71.294626,-156.702102,2013,225,11.05,471.2,2
71.294626,-156.702102,2013,226,8.17,249.88,1.57
71.294626,-156.702102,2013,227,8.78,497.41,-9999
71.294626,-156.702102,2013,228,7.11,145.19,1.76
71.294626,-156.702102,2015,204,8.57,647.16,-9999
71.294626,-156.702102,2015,205,8.06,358.55,1.51
71.294626,-156.702102,2015,206,8.83,370.12,1.49
71.294626,-156.702102,2015,207,8.75,331.7,1.99
71.294626,-156.702102,2015,208,7.54,250.84,2.31
71.294626,-156.702102,2015,209,6.64,269.43,2.07
71.294626,-156.702102,2015,210,8.13,485.14,1.45
71.294626,-156.702102,2015,211,9.73,364.28,1.44
71.294626,-156.702102,2015,212,9.63,143.05,3.21
71.294626,-156.702102,2015,213,7.91,341.1,1.91
71.294626,-156.702102,2015,214,7.43,71.89,2.42
71.294626,-156.702102,2015,215,7.36,157.06,2.91
71.294626,-156.702102,2015,216,6.87,329.19,1.1
71.294626,-156.702102,2015,217,8.17,360.07,1.02
71.294626,-156.702102,2015,218,8,270.86,1.82
71.294626,-156.702102,2015,219,7.96,329.12,0.79
71.294626,-156.702102,2015,220,8.23,185.79,1.06
71.294626,-156.702102,2015,221,9.04,380.17,1.01
71.294626,-156.702102,2015,222,9.14,280.66,1.42
71.294626,-156.702102,2015,223,8.26,243.8,1.29
71.294626,-156.702102,2015,224,7.06,298.76,2.34
71.294626,-156.702102,2015,225,7.16,128.9,1.13
71.294626,-156.702102,2015,226,8.94,157.75,1.4
71.294626,-156.702102,2015,227,7.15,80.04,1.04
71.294626,-156.702102,2015,228,5.72,268.7,2.01
71.294626,-156.702102,2015,229,4.62,-9999,1.47
71.294626,-156.702102,2015,230,4.36,-9999,1.36
71.294626,-156.702102,2015,231,3.89,-9999,0.42
