"Year","Habitat","FwSal","Site","Station","Latitude","Longitude","WaterColumnPosition","JulianDay","WOY","DOC_ppm","WaterTemp_C","pCO2_uatm","Wind_m_s","AirTemp_C","k_cm_h","Fmmol_mmol_m2_day","Fgrams_g_m2_day","LocationNotes"
2017,"POND","FW","Bear","Bear",71.276869,-156.639452,"mid-column",213,31,22.63,11.63,850.61,10.58,9.03,22.45,530.02,23.32,"-9999.00"
2017,"POND","FW","Bear","Bear",71.276869,-156.639452,"mid-column",218,32,23.89,9.31,2234.22,1.86,6.22,0.65,66.12,2.91,"-9999.00"
2017,"POND","FW","Bear","Bear",71.276869,-156.639452,"mid-column",220,32,21.4,7.39,2835.24,3.15,9.42,1.76,253.88,11.17,"-9999.00"
2017,"POND","FW","Cat","Cat",71.277241,-156.641515,"mid-column",213,31,14.46,11.04,1154.5,9.28,9.42,16.99,677.56,29.81,"-9999.00"
2015,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",217,31,8.18,8.69,318,1.75,3.52,0.56,-2.22,-0.1,"-9999.00"
2015,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",218,32,-9999,8.69,304.18,3.8,2.3,2.65,-12.54,-0.55,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",213,31,6.43,12.29,398.56,10.95,9.03,24.51,12.92,0.57,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",216,31,6.86,9.7,493.58,5.01,7.83,4.76,27.38,1.2,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",218,32,6.88,11.18,617.09,1.86,6.62,0.69,8.13,0.36,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",220,32,6.72,12.22,243.1,3.9,9.03,3.1,-22.49,-0.99,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-209",71.278856,-156.83152,"surface",218,32,2,6.52,161.68,3.81,3.89,2.39,-32.9,-1.45,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-219",71.199872,-156.995279,"surface",218,32,2,8.24,247.28,3.81,3.89,2.51,-20.26,-0.89,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-220",71.181507,-157.02712,"surface",218,32,1.1,7.58,201.45,3.81,3.89,2.46,-26.96,-1.19,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-250",71.150107,-157.083965,"surface",218,32,1.2,7.46,161.82,3.81,3.89,2.46,-32.71,-1.44,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-251",71.0558,-157.247059,"surface",218,32,1.2,6.94,178.95,3.81,3.89,2.42,-30.32,-1.33,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-252",71.133235,-157.115646,"surface",218,32,1.4,7.68,209.96,3.81,3.89,2.47,-25.72,-1.13,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-253",71.115715,-157.143061,"surface",218,32,1,7.8,194.67,3.81,3.89,2.48,-27.91,-1.23,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-254",71.025906,-157.305762,"surface",218,32,1.3,6.74,167.06,3.81,3.89,2.4,-32.08,-1.41,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-255",71.097753,-157.173073,"surface",218,32,1,7.34,182.26,3.81,3.89,2.45,-29.78,-1.31,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-256",71.108117,-157.158261,"surface",218,32,1,9.24,210.3,3.81,3.89,2.59,-25.45,-1.12,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-257",71.081805,-157.201462,"surface",218,32,1.2,6.86,160.42,3.81,3.89,2.41,-33.02,-1.45,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-258",71.215102,-156.962677,"surface",218,32,1.5,7.14,231.66,3.81,3.89,2.43,-22.65,-1,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-259",71.264309,-156.863798,"surface",218,32,-9999,7.23,182.59,3.81,3.89,2.44,-29.75,-1.31,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-268",71.24606,-156.898219,"surface",218,32,1.3,7.77,216.21,3.81,3.89,2.48,-24.8,-1.09,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-271",71.04227,-157.27405,"surface",218,32,1.1,6.69,188.51,3.81,3.89,2.4,-28.98,-1.27,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-272",71.065155,-157.230221,"surface",218,32,1.3,6.81,169.17,3.81,3.89,2.41,-31.76,-1.4,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-273",71.232444,-156.929353,"surface",218,32,1.7,7.32,193.04,3.81,3.89,2.44,-28.22,-1.24,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-274",71.166299,-157.054413,"surface",218,32,1.4,7.25,194.29,3.81,3.89,2.44,-28.05,-1.23,"-9999.00"
2017,"LAKE","FW","East Twin","East Twin",71.284857,-156.472189,"surface",219,32,5.1,8.88,372.52,3.15,7.03,1.84,-1.59,-0.07,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-21",71.362001,-156.486987,"surface",209,30,2,6.67,173.65,3.15,1.35,1.63,-21.21,-0.93,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-22",71.195522,-155.99475,"surface",210,30,2.5,7.88,238.28,2.34,2.46,0.93,-8.11,-0.36,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-101",71.342413,-156.39235,"surface",209,30,2.1,4.73,128.81,3.15,1.35,1.54,-25.94,-1.14,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-102",71.348863,-156.40749,"surface",209,30,2.2,4.73,122.27,3.15,1.35,1.54,-26.59,-1.17,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-103",71.31369,-156.405246,"surface",209,30,2.1,7.18,172.76,3.15,1.35,1.66,-21.24,-0.93,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-104",71.360678,-156.465956,"surface",209,30,2.2,6.78,156.37,3.15,1.35,1.64,-22.91,-1.01,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-105",71.324683,-156.428881,"surface",209,30,1.8,5.45,145.04,3.15,1.35,1.57,-24.21,-1.07,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-106",71.19813,-156.016764,"surface",210,30,2.7,7.88,228.01,2.34,2.46,0.93,-8.66,-0.38,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-108",71.325633,-156.506753,"surface",209,30,2.3,7.08,209.89,3.15,1.35,1.65,-17.58,-0.77,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-109",71.301015,-156.072546,"surface",210,30,2.2,6.57,179.79,2.34,2.46,0.9,-11.35,-0.5,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-110",71.2288,-156.022039,"surface",210,30,2,6.88,198.82,2.34,2.46,0.91,-10.3,-0.45,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-111",71.222565,-156.008276,"surface",210,30,2.1,7.28,202.83,2.34,2.46,0.92,-10.06,-0.44,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-112",71.323793,-156.222126,"surface",210,30,2.1,6.57,155.62,2.34,2.46,0.9,-12.67,-0.56,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-113",71.344674,-156.496354,"surface",209,30,2.8,6.88,166.69,3.15,1.35,1.64,-21.87,-0.96,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-115",71.307849,-156.461993,"surface",209,30,2.1,6.98,158.39,3.15,1.35,1.65,-22.68,-1,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-116",71.348661,-156.539328,"surface",209,30,2.2,6.88,201.76,3.15,1.35,1.64,-18.41,-0.81,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-117",71.331753,-156.481779,"surface",209,30,1.7,7.08,165.1,3.15,1.35,1.65,-22.01,-0.97,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-118",71.33649,-156.321103,"surface",210,30,2.8,5.04,148.04,2.34,2.46,0.86,-13.2,-0.58,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-121",71.328384,-156.529261,"surface",209,30,2.7,7.18,219.63,3.15,1.35,1.66,-16.61,-0.73,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-124",71.228807,-155.963393,"surface",210,30,1.3,3.47,150.02,2.34,2.46,0.81,-13.22,-0.58,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-125",71.282068,-156.009698,"surface",210,30,1.7,4.93,154.53,2.34,2.46,0.85,-12.85,-0.57,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-126",71.312811,-156.141049,"surface",210,30,3,6.57,171.35,2.34,2.46,0.9,-11.81,-0.52,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-127",71.248172,-155.969316,"surface",210,30,2.6,5.14,154.46,2.34,2.46,0.86,-12.84,-0.57,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-128",71.223921,-155.945296,"surface",210,30,1.7,3.68,155.4,2.34,2.46,-9999,-9999,-9999,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-131",71.210357,-155.980177,"surface",210,30,2.4,7.38,198.3,2.34,2.46,0.92,-10.3,-0.45,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-132",71.255237,-155.99051,"surface",210,30,1.9,4.83,161.45,2.34,2.46,0.85,-12.48,-0.55,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-133",71.327551,-156.23384,"surface",210,30,2.5,6.47,162.06,2.34,2.46,0.89,-12.33,-0.54,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-134",71.315434,-156.152028,"surface",210,30,2.1,6.88,171.61,2.34,2.46,0.91,-11.78,-0.52,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-135",71.296538,-156.059718,"surface",210,30,2,6.57,188.14,2.34,2.46,0.9,-10.9,-0.48,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-136",71.273291,-156.001089,"surface",210,30,2.8,4.83,163.05,2.34,2.46,0.85,-12.39,-0.55,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-138",71.331512,-156.309741,"surface",210,30,-9999,4.83,144.02,2.34,2.46,0.85,-13.44,-0.59,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-139",71.300395,-156.455662,"surface",209,30,2.8,7.28,199.51,3.15,1.35,1.66,-18.59,-0.82,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-203",71.303925,-156.018206,"surface",217,31,1.1,6.78,159.36,2.46,3.17,1,-13.85,-0.61,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-204",71.339072,-156.254601,"surface",217,31,1.1,6.67,151.71,2.46,3.17,1,-14.32,-0.63,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-205",71.22335,-155.945414,"surface",217,31,2,7.88,208.56,2.46,3.17,1.04,-10.81,-0.48,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-206",71.351933,-156.34944,"surface",217,31,1.1,6.37,145.69,2.46,3.17,0.99,-14.71,-0.65,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-208",71.228436,-156.071592,"surface",221,32,2.4,7.78,212.08,2.13,6.49,0.77,-7.93,-0.35,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-210",71.250738,-156.147362,"surface",221,32,1.8,7.68,199.85,2.13,6.49,0.77,-8.48,-0.37,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-261",71.280393,-156.40201,"surface",221,32,1.5,7.58,189.39,2.13,6.49,0.77,-8.96,-0.39,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-262",71.311472,-156.538402,"surface",221,32,2,9.08,204.33,2.13,6.49,0.8,-8.22,-0.36,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-263",71.296049,-156.524977,"surface",221,32,1.6,8.98,207.7,2.13,6.49,0.8,-8.07,-0.36,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-266",71.269173,-156.40517,"surface",221,32,1.8,9.28,196.45,2.13,6.49,0.81,-8.56,-0.38,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-267",71.262866,-156.311068,"surface",221,32,1.9,8.98,191.73,2.13,6.49,0.8,-8.79,-0.39,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-280",71.266876,-156.14825,"surface",213,31,1.9,7.98,176.32,3.41,2.37,1.99,-24.38,-1.07,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-281",71.288763,-156.259204,"surface",213,31,2.1,7.78,173.95,3.41,2.37,1.98,-24.68,-1.09,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-282",71.275478,-156.335672,"surface",213,31,2,7.78,176.67,3.41,2.37,1.98,-24.37,-1.07,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-283",71.290951,-156.298958,"surface",213,31,2.4,7.38,156.2,3.41,2.37,1.96,-26.79,-1.18,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-284",71.274511,-156.31405,"surface",213,31,2.3,8.08,181.01,3.41,2.37,2,-23.83,-1.05,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-285",71.271314,-156.22663,"surface",213,31,2.5,7.98,162.01,3.41,2.37,1.99,-26.03,-1.15,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-286",71.280694,-156.224489,"surface",213,31,2.2,7.78,164.57,3.41,2.37,1.98,-25.76,-1.13,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-287",71.279859,-156.176957,"surface",213,31,2.1,7.78,173.6,3.41,2.37,1.98,-24.72,-1.09,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-288",71.262134,-156.127345,"surface",213,31,2.2,8.18,184.52,3.41,2.37,2,-23.41,-1.03,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-289",71.292971,-156.378307,"surface",213,31,2.5,7.08,143.89,3.41,2.37,1.94,-28.26,-1.24,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-290",71.31645,-156.281021,"surface",213,31,2.3,5.76,140.12,3.41,2.37,1.86,-28.91,-1.27,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-291",71.323596,-156.363487,"surface",213,31,1.8,5.86,144.35,3.41,2.37,1.87,-28.4,-1.25,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-292",71.272499,-156.065539,"surface",213,31,2.6,7.98,187.99,3.41,2.37,1.99,-23.04,-1.01,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-293",71.305671,-156.328315,"surface",213,31,1.6,5.66,140.26,3.41,2.37,1.86,-28.91,-1.27,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-294",71.246892,-156.052882,"surface",213,31,2.2,7.98,172.66,3.41,2.37,1.99,-24.8,-1.09,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-295",71.314697,-156.349217,"surface",213,31,1.6,5.55,139.32,3.41,2.37,1.85,-29.04,-1.28,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-296",71.291352,-156.124376,"surface",213,31,2.2,7.78,186.96,3.41,2.37,1.98,-23.18,-1.02,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-297",71.256147,-156.056871,"surface",213,31,2.2,8.08,185.73,3.41,2.37,2,-23.28,-1.02,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-298",71.306503,-156.26167,"surface",213,31,2.3,6.67,156.92,3.41,2.37,1.91,-26.81,-1.18,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-299",71.29675,-156.181972,"surface",213,31,1.8,7.48,175.3,3.41,2.37,1.96,-24.56,-1.08,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-300",71.281146,-156.104452,"surface",213,31,2,7.88,187.3,3.41,2.37,1.99,-23.13,-1.02,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-301",71.302267,-156.201619,"surface",213,31,1.8,7.18,171.23,3.41,2.37,1.94,-25.08,-1.1,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-350",71.240652,-156.068881,"surface",221,32,1.7,7.58,201.78,2.13,6.49,0.77,-8.4,-0.37,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-351",71.265824,-156.35131,"surface",221,32,1.6,7.48,184.79,2.13,6.49,0.77,-9.17,-0.4,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-352",71.223795,-156.081049,"surface",221,32,3.1,8.78,201.69,2.13,6.49,0.8,-8.35,-0.37,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-353",71.312156,-156.527656,"surface",221,32,1.8,7.48,197.29,2.13,6.49,0.77,-8.61,-0.38,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-354",71.300297,-156.510089,"surface",221,32,2.4,7.48,198.24,2.13,6.49,0.77,-8.57,-0.38,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-355",71.340689,-156.575509,"surface",221,32,2.1,7.48,224.1,2.13,6.49,0.77,-7.4,-0.33,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-356",71.204692,-156.01732,"surface",221,32,1.8,7.78,192.71,2.13,6.49,0.77,-8.8,-0.39,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-357",71.259796,-156.22403,"surface",221,32,1.9,8.88,200.62,2.13,6.49,0.8,-8.39,-0.37,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-358",71.19199,-156.033002,"surface",221,32,1.4,8.28,225.91,2.13,6.49,0.79,-7.28,-0.32,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-359",71.189572,-155.968546,"surface",221,32,2.1,8.78,229,2.13,6.49,0.8,-7.13,-0.31,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-360",71.175864,-156.075332,"surface",221,32,2.2,8.58,241.8,2.13,6.49,0.79,-6.56,-0.29,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-361",71.246998,-156.150686,"surface",221,32,2.3,8.58,211.05,2.13,6.49,0.79,-7.94,-0.35,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-362",71.166315,-156.096606,"surface",221,32,2.6,9.08,226.62,2.13,6.49,0.8,-7.22,-0.32,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-363",71.175151,-156.025772,"surface",221,32,2.2,8.78,232.99,2.13,6.49,0.8,-6.95,-0.31,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-2111",71.298465,-156.391347,"surface",213,31,-9999,6.78,150.89,3.41,2.37,1.92,-27.49,-1.21,"-9999.00"
2015,"Lagoon","Saline","Elson","Elson-2119",71.26374,-156.219522,"surface",221,32,2.1,7.48,200.51,2.13,6.49,0.77,-8.46,-0.37,"-9999.00"
2018,"Lagoon","Saline","Elson","EWLD1",71.3379,-156.4165,"bottom",209,30,1.91,6.4,195,7.56,-9999,9.82,-69.15,-3.04,"-9999.00"
2018,"Lagoon","Saline","Elson","EWLD1",71.3379,-156.4165,"surface",209,30,3.24,6.7,167,7.56,-9999,9.91,-77.18,-3.4,"-9999.00"
2018,"Lagoon","Saline","Elson","EWLS1",71.32894,-156.56479,"mid-column",209,30,2.87,7.9,260,7.56,-9999,10.28,-40.38,-1.78,"-9999.00"
2015,"LAKE","FW","FAR-LAKE","FAR-LAKE",71.233389,-156.312058,"surface",221,32,6.62,8.75,267.79,1.8,8.41,0.6,-4.04,-0.18,"-9999.00"
