"Year","Habitat","FwSal","Site","Station","Latitude","Longitude","WaterColumnPosition","JulianDay","WOY","DOC_ppm","WaterTemp_C","pCO2_uatm","Wind_m_s","AirTemp_C","k_cm_h","Fmmol_mmol_m2_day","Fgrams_g_m2_day","LocationNotes"
2015,"LAKE","FW","FAR-LAKE-N","FAR-LAKE-N",71.234992,-156.302263,"surface",221,32,9.11,8.75,438.61,2.24,8.78,0.93,2.64,0.12,"-9999.00"
2015,"RIVER","FW","FPC","FPC",71.29649,-156.695362,"surface",228,33,8.18,6.14,651.69,6.64,3.85,7.52,122.42,5.39,"-9999.00"
2017,"RIVER","FW","FPC","FPC",71.29649,-156.695362,"surface",214,31,10.94,8.69,1374.12,4.82,7.43,4.28,237.93,10.47,"-9999.00"
2017,"RIVER","FW","FPC","FPC",71.29649,-156.695362,"surface",216,31,10.96,7.17,1277.65,3.53,6.22,2.19,116.04,5.11,"-9999.00"
2017,"RIVER","FW","FPC","FPC",71.29649,-156.695362,"surface",218,32,11.15,8.59,1478.36,0.74,6.62,0.1,6.2,0.27,"-9999.00"
2017,"RIVER","FW","FPC","FPC",71.29649,-156.695362,"surface",220,32,10.59,7.48,1535.92,2.41,8.63,1.03,69.67,3.07,"-9999.00"
2017,"RIVER","FW","FPC","FPC-A",71.29724,-156.681856,"surface",217,31,11.64,-9999,1468,3.71,6.62,1.93,162.55,7.15,"-9999.00"
2017,"RIVER","FW","FPC","FPC-B",71.295784,-156.685144,"surface",217,31,11.05,-9999,1530.31,3.9,6.62,2.13,189.98,8.36,"-9999.00"
2017,"RIVER","FW","FPC","FPC-C",71.295905,-156.692898,"surface",217,31,11.22,-9999,1436.5,3.9,6.62,2.13,174.38,7.67,"-9999.00"
2017,"RIVER","FW","FPC","FPC-D",71.293958,-156.696942,"surface",217,31,11.11,-9999,1727.65,5.01,6.62,3.52,367.68,16.18,"-9999.00"
2017,"RIVER","FW","FPC","FPC-E",71.290866,-156.695073,"surface",217,31,10.62,-9999,1796.77,5.01,6.62,3.52,386.65,17.01,"-9999.00"
2015,"LAKE","FW","FW","FW1",71.250109,-156.773431,"surface",207,30,7.46,9,293.04,3.15,2.46,1.84,-9.74,-0.43,"-9999.00"
2015,"LAKE","FW","FW","FW2",-9999,-9999,"surface",207,30,-9999,9,298.85,3.15,2.46,1.84,-9.14,-0.4,"On transect between FW1 & FW, bounding box: W156.773432 - 156.772072 / N71.250109 - 71.240345"
2015,"LAKE","FW","FW","FW3",-9999,-9999,"surface",207,30,4.34,9,277.92,3.15,2.46,1.84,-11.29,-0.5,"On transect between FW1 & FW, bounding box: W156.773432 - 156.772072 / N71.250109 - 71.240346"
2015,"LAKE","FW","FW","FW4",-9999,-9999,"surface",207,30,-9999,9,279.09,3.15,2.46,1.84,-11.17,-0.49,"On transect between FW1 & FW, bounding box: W156.773432 - 156.772072 / N71.250109 - 71.240347"
2015,"LAKE","FW","FW","FW",71.240345,-156.772072,"surface",212,31,5.13,9.54,278.81,4.35,8.64,3.57,-21.38,-0.94,"-9999.00"
2015,"LAKE","FW","FW","FW",71.240345,-156.772072,"surface",223,32,4.73,8.58,387.38,3.23,3.7,1.92,-0.07,0,"-9999.00"
2015,"LAKE","FW","FW","FW",71.240345,-156.772072,"surface",226,33,4.97,8.44,320.19,5.12,8.23,4.79,-18.49,-0.81,"-9999.00"
2017,"POND","FW","IBP-10","IBP-10",71.293495,-156.704326,"mid-column",210,30,18.14,13.45,3500.19,2.2,10.78,1.02,152.13,6.69,"-9999.00"
2017,"POND","FW","IBP-10","IBP-10",71.293495,-156.704326,"mid-column",212,31,-9999,8.88,2206.62,4.27,14.09,3.38,344.04,15.14,"-9999.00"
2017,"POND","FW","IBP-17","IBP-17",71.29298,-156.700667,"mid-column",218,32,14.62,9.5,1561.33,1.3,6.22,0.32,20.51,0.9,"-9999.00"
2017,"POND","FW","IBP-18","IBP-18",71.294976,-156.703762,"mid-column",218,32,18.35,8.9,1530.79,1.3,5.81,0.31,20.04,0.88,"-9999.00"
2017,"POND","FW","IBP-4","IBP-4",71.295485,-156.700901,"mid-column",214,31,17.98,9.1,790.78,5.01,7.43,4.68,104.78,4.61,"-9999.00"
2017,"POND","FW","IBP-8","IBP-8",71.292962,-156.707462,"mid-column",217,31,30.59,8.48,2989.84,3.34,6.22,2.04,301.76,13.28,"-9999.00"
2017,"POND","FW","IBP-9","IBP-9",71.293215,-156.706095,"mid-column",217,31,27.28,11.92,1168.34,4.64,6.62,4.35,171.71,7.56,"-9999.00"
2015,"POND","FW","IBP-B","IBP-B",71.294924,-156.702552,"mid-column",225,33,18.57,7.36,585.84,4.31,8.18,3.29,38.45,1.69,"-9999.00"
2017,"POND","FW","IBP-B","IBP-B",71.294924,-156.702552,"mid-column",216,31,13.86,7.58,1362.31,3.53,5.81,2.22,126.81,5.58,"-9999.00"
2017,"POND","FW","IBP-B","IBP-B",71.294924,-156.702552,"mid-column",218,32,14.18,10.08,2244.19,1.86,5.4,0.66,66.23,2.91,"-9999.00"
2017,"POND","FW","IBP-B","IBP-B",71.294924,-156.702552,"mid-column",220,32,15.25,15.13,2022.69,2.04,7.83,0.92,68.47,3.01,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",205,30,21.4,8.62,795.89,3.33,3,2.04,47,2.07,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",208,30,-9999,8.62,826.97,4.32,2.45,3.43,85.25,3.75,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",211,31,21.51,8.44,1343.03,3.07,8.12,1.72,93.64,4.12,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",214,31,20.16,7.56,972.91,4.37,8.5,3.4,116.73,5.14,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",215,31,19.92,7.9,671.61,5.31,7.7,5.07,83.38,3.67,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",216,31,-9999,9.22,722.22,4.23,4.75,3.34,61.86,2.72,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",217,31,23.17,8.18,922.26,3.14,4.08,1.79,54.91,2.42,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",219,32,20.62,6.87,672.29,4.59,5.52,3.67,62.78,2.76,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",220,32,18.79,7.88,1005.4,3.84,4.31,2.65,94.82,4.17,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",221,32,18.59,8.7,1517.49,2.19,8.7,0.88,56.1,2.47,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",221,32,18.17,11.56,1481.38,2.19,8.7,0.96,53.54,2.36,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",223,32,17.97,9.87,684.61,2.73,2.73,1.42,22.83,1,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",225,33,18.03,6.99,669.97,4.1,8.23,2.95,49.75,2.19,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",227,33,17.55,7.08,873.61,1.42,2.25,0.35,10.25,0.45,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",229,33,18.12,3.95,509.99,8.3,3,10.96,89.55,3.94,"-9999.00"
2015,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",231,33,17.51,3.79,565.78,2.5,1,0.99,11.85,0.52,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",208,30,13.08,15.72,830.64,6.75,6.27,10.23,202.44,8.91,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",209,30,12.91,16.12,2083.67,3.47,13.12,2.74,205.04,9.02,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",210,30,13.68,14.89,2193.13,2.07,10.73,0.94,77.87,3.43,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",212,31,13.47,10.52,933.74,3.9,12.16,2.96,85.42,3.76,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",214,31,13.2,9.01,950,3.9,7.43,2.83,88.63,3.9,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",216,31,12.92,7.69,1255.86,3.34,5.81,1.99,101.07,4.45,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",218,32,14.64,8.77,1868.66,0.74,5.81,0.1,8.42,0.37,"-9999.00"
2017,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",220,32,14.41,9.02,1574.1,2.41,8.63,1.08,71.42,3.14,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",205,30,16.43,15.12,1348.08,9.03,-9999,18.02,236.81,10.42,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",206,30,16.31,8.99,875.36,11.89,-9999,26.26,346.98,15.27,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",208,30,15.61,7.22,822.74,9.62,-9999,16.3,235.29,10.35,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",209,30,14.41,9.03,967.75,7.56,-9999,10.63,166.21,7.31,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",210,30,14.21,12.49,1773.42,7.13,-9999,10.45,264.6,11.64,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",121,31,14.44,11.26,1915.72,7.17,-9999,10.21,326.83,14.38,"-9999.00"
2018,"POND","FW","IBP-C","IBP-C",71.294626,-156.702102,"mid-column",214,31,14.33,7.07,787.49,11.51,-9999,23.22,313.51,13.79,"-9999.00"
2015,"POND","FW","IBP-D","IBP-D",71.294851,-156.700166,"mid-column",225,33,22.83,7.79,629.6,4.2,8.17,3.16,44.46,1.96,"-9999.00"
2017,"POND","FW","IBP-D","IBP-D",71.294851,-156.700166,"mid-column",212,31,14.69,11.14,605.9,2.97,14.09,1.74,19.72,0.87,"-9999.00"
2015,"POND","FW","IBP-E","IBP-E",71.294228,-156.701763,"mid-column",225,33,19.22,6.74,1415.78,4.2,8.17,3.06,190.17,8.37,"-9999.00"
2017,"POND","FW","IBP-E","IBP-E",71.294228,-156.701763,"mid-column",210,30,14.12,15.13,3233.32,2.2,10.78,1.07,137.98,6.07,"-9999.00"
2017,"POND","FW","IBP-E","IBP-E",71.294228,-156.701763,"mid-column",212,31,-9999,10.51,1317.58,3.9,12.16,2.95,145.51,6.4,"-9999.00"
2017,"POND","FW","IBP-G","IBP-G",71.292613,-156.700531,"mid-column",212,31,13.88,11.2,446.3,3.9,12.93,3.01,9.09,0.4,"-9999.00"
2017,"POND","FW","IBP-G","IBP-G",71.292613,-156.700531,"mid-column",214,31,-9999,9,542.26,5.01,7.43,4.66,40.15,1.77,"-9999.00"
2015,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",221,32,15.99,11.56,1485.62,1.8,8.41,0.65,36.39,1.6,"-9999.00"
2015,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",221,32,-9999,10.73,1266.39,2.33,8.71,1.06,48.86,2.15,"-9999.00"
2015,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",225,33,15.72,7.06,692.76,4.34,8.23,3.3,60.17,2.65,"-9999.00"
2017,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",209,30,-9999,17.38,1283.75,3.47,13.12,2.83,107.69,4.74,"-9999.00"
2017,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",210,30,11.18,14.8,2006.52,3.67,11.13,2.94,219.28,9.65,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",205,30,13.54,15.31,1279.95,9.03,-9999,18.11,216.69,9.53,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",206,30,13.8,8.83,936.45,11.89,-9999,26.13,395.73,17.41,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",208,30,12.94,7,767.53,9.62,-9999,16.19,209.15,9.2,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",209,30,11.9,8.99,802.94,7.56,-9999,10.62,119.42,5.25,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",210,30,11.89,13.14,1236.76,7.13,-9999,10.64,153.63,6.76,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",121,31,12.51,11.16,1953.23,7.17,-9999,10.18,337.73,14.86,"-9999.00"
2018,"POND","FW","IBP-J","IBP-J",71.293626,-156.70144,"mid-column",214,31,12.5,6.09,907.57,11.51,-9999,22.54,443.04,19.49,"-9999.00"
2015,"POND","FW","IBP-X","IBP-X",71.295801,-156.699817,"mid-column",225,33,26.24,7.89,696.53,4.31,8.18,3.34,59.79,2.63,"-9999.00"
2017,"POND","FW","IBP-X","IBP-X",71.295801,-156.699817,"mid-column",214,31,18.86,8.8,535.45,4.45,7.43,3.66,30.31,1.33,"-9999.00"
2015,"LAKE","FW","IKRO","IKRO",71.246934,-156.641207,"mid-column",224,32,3.92,9.81,223.33,6.31,5.5,7.59,-67.79,-2.98,"-9999.00"
2017,"POND","FW","ITEX-N","ITEX-N",71.318141,-156.58322,"mid-column",215,31,21.75,7.38,815.96,3.71,4.15,2.44,61.59,2.71,"-9999.00"
2017,"POND","FW","ITEX-N","ITEX-N",71.318141,-156.58322,"mid-column",217,31,-9999,12.21,1226.65,5.75,11.38,6.74,283,12.45,"-9999.00"
2017,"POND","FW","ITEX-N2","ITEX-N2",71.317422,-156.58087,"mid-column",215,31,10.22,8.3,804.15,3.15,4.15,1.81,42.97,1.89,"-9999.00"
2017,"POND","FW","ITEX-S","ITEX-S",71.313325,-156.591645,"mid-column",215,31,36.56,7.32,1610.51,2.97,3.31,1.56,112.78,4.96,"-9999.00"
2017,"POND","FW","ITEX-S","ITEX-S",71.313325,-156.591645,"mid-column",217,31,-9999,11.76,938.01,5.94,10.99,7.11,198.5,8.73,"-9999.00"
2017,"POND","FW","ITEX-S2","ITEX-S2",71.314922,-156.594669,"mid-column",215,31,42,7.28,1448.35,3.15,3.31,1.75,110.06,4.84,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1",71.242057,-156.329753,"mid-column",210,30,6.4,8.2,287.64,1.13,3.63,0.22,-1.27,-0.06,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1",71.242057,-156.329753,"mid-column",212,31,6.9,10.75,284.45,7.8,8.04,11.31,-61.55,-2.71,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1",71.242057,-156.329753,"mid-column",213,31,8,10.79,323.23,3.41,3.21,2.16,-7.34,-0.32,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1",71.242057,-156.329753,"mid-column",214,31,6.7,10.41,182.59,7.07,9.66,9.18,-100.3,-4.41,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1",71.242057,-156.329753,"mid-column",215,31,6.3,8.73,263.31,4.85,7.07,4.12,-28.94,-1.27,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1",71.242057,-156.329753,"mid-column",216,31,6.5,8.18,278.79,4.08,5,2.86,-17.96,-0.79,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1-1",71.242057,-156.329753,"mid-column",226,33,4.5,9.06,261.06,5.04,9.16,4.5,-31.82,-1.4,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1-2",71.245424,-156.318061,"mid-column",226,33,5.1,9.15,275.27,5.04,9.16,4.51,-28.25,-1.24,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1-3",71.2485,-156.291194,"mid-column",226,33,5.2,9.97,247.09,5.04,9.16,4.62,-35.15,-1.55,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1-4",71.235722,-156.288,"mid-column",226,33,5.9,9.88,244.98,5.05,9.24,4.62,-35.74,-1.57,"-9999.00"
2015,"Salt-River","Saline","RIV1","RIV1-5",71.250639,-156.292667,"mid-column",226,33,3.4,10.14,198.02,3.85,7.91,2.71,-27.59,-1.21,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",228,33,11.87,8.33,1280.89,6.96,3.47,8.82,449.73,19.79,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",230,33,9.89,3.89,1280.89,5.8,2,5.34,320.19,14.09,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",218,32,5.98,9.65,521.48,5.59,7.32,5.93,43.16,1.9,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",219,32,6.71,8.45,1235.41,3.12,8.1,1.78,85.64,3.77,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",220,32,7.49,7.51,1653.64,2.16,5.89,0.83,61.98,2.73,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",222,32,-9999,7.61,2452.55,2.62,4.08,1.22,147.55,6.49,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",224,32,9.5,5.93,2049.67,5.29,3.31,4.73,489.17,21.52,"-9999.00"
2015,"RIVER","FW","RIV1_UP","RIV1_UP",71.239286,-156.335058,"mid-column",226,33,9.41,9.72,3352.95,5.88,9.57,6.56,1058.7,46.58,"-9999.00"
2015,"Salt-River","Saline","RIV3A","RIV3A",71.24947,-156.46388,"mid-column",219,32,11.6,12.66,252.29,2.14,8.74,0.9,-6.01,-0.26,"-9999.00"
2015,"RIVER","FW","RIV3B","RIV3B",71.250886,-156.493041,"mid-column",228,33,9.75,6.88,1144.16,6.96,3.47,8.44,383.75,16.88,"-9999.00"
2015,"TK-POND","FW","TK1","TK1",71.27496,-156.632653,"mid-column",217,31,67.66,6.83,3632.56,3.9,2.95,2.65,517.48,22.77,"-9999.00"
2017,"TK-POND","FW","TK1","TK1",71.27496,-156.632653,"mid-column",211,31,64.8,14.04,6283.96,2.08,7.75,0.93,258.08,11.36,"-9999.00"
2015,"TK-POND","FW","TK2","TK2",71.274649,-156.631148,"mid-column",217,31,48.7,7.21,3703.66,3.9,3.17,2.68,527.76,23.22,"-9999.00"
2017,"TK-POND","FW","TK-2B","TK-2B",-9999,-9999,"mid-column",211,31,68.08,7.88,4347.24,1.94,7.48,0.67,154.91,6.82,"In general vicinity of TK1, 2 & 3, bounding box: W156.638802 - 156.633733 / N71.275491 - 71.273587"
2017,"TK-POND","FW","TK3","TK3",71.273975,-156.636431,"mid-column",209,30,45.64,11.9,8457.57,3.5,8.4,2.48,1010.44,44.46,"-9999.00"
2015,"TK-POND","FW","TKA","TKA",-9999,-9999,"mid-column",217,31,46.74,7.2,4184.84,3.36,3.06,1.99,449.9,19.8,"In general vicinity of TK1, 2 & 3, bounding box: W156.638802 - 156.633733 / N71.275491 - 71.273587"
2015,"TK-POND","FW","TKB","TKB",-9999,-9999,"mid-column",217,31,37.06,7.25,3569.68,2.79,3.02,1.37,259.1,11.4,"In general vicinity of TK1, 2 & 3, bounding box: W156.638802 - 156.633733 / N71.275491 - 71.273587"
2017,"POND","FW","Whale","Whale",71.277302,-156.64195,"mid-column",214,31,15.09,10.35,905.41,5.2,6.22,5.23,103.86,4.57,"-9999.00"
